,xA,yA,zA,xC,yC,zC,A1,A2,A3,B,C1,C2,C3,rA1,rA2,rA3,rB,rC1,rC2,rC3,rA,rC,TF,OF
114,0.0,0.0,1.0,0.3,0.45,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.975,1.006482164058577,0.6025316455696202
115,0.0,0.0,1.0,0.3,0.5,0.2,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.963,1.0076215565718865,0.6062149770759042
116,0.0,0.0,1.0,0.3,0.55,0.15,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.951,1.0087696550451828,0.6099436186570989
117,0.0,0.0,1.0,0.3,0.6,0.1,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9389999999999998,1.009926559642915,0.6137184115523466
118,0.0,0.0,1.0,0.3,0.65,0.05,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9270000000000003,1.0110923720720058,0.617540217955371
119,0.0,0.0,1.0,0.35,0.0,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0635000000000003,0.9983387119657002,0.5766900896535012
120,0.0,0.0,1.0,0.35,0.05,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0515,0.9994168496085662,0.5800633682671217
121,0.0,0.0,1.0,0.35,0.1,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0395000000000003,1.00050299942156,0.5834763422407452
122,0.0,0.0,1.0,0.35,0.15,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0275,1.001597251051341,0.5869297163995068
123,0.0,0.0,1.0,0.35,0.2,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0155000000000003,1.0026996954869605,0.5904242123542545
124,0.0,0.0,1.0,0.35,0.25,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0035,1.0038104250850832,0.5939605690042425
125,0.0,0.0,1.0,0.35,0.3,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9914999999999998,1.0049295335957802,0.5975395430579965
126,0.0,0.0,1.0,0.35,0.35,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9794999999999998,1.0060571161889054,0.6011619095731245
127,0.0,0.0,1.0,0.35,0.4,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9675,1.007193269481076,0.6048284625158831
