Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
104,Cs,MA,FA,Pb,Cl,Br,I,,0.0000,1.0000,,1.00,0.00,2.1600,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
105,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,,1.00,1.5020,correct,TRUE,,"film, synthesized",same article,Perovskite FA1-xMAxPbI3 for Solar Cells: Films Formation and Properties - ScienceDirect
106,Cs,MA,FA,Pb,Cl,Br,I,,0.2000,0.8000,,,1.00,1.5070,correct,TRUE,,"film, synthesized",same article,Perovskite FA1-xMAxPbI3 for Solar Cells: Films Formation and Properties - ScienceDirect
107,Cs,MA,FA,Pb,Cl,Br,I,,0.4000,0.6000,,,1.00,1.5140,correct,TRUE,,"film, synthesized",same article,Perovskite FA1-xMAxPbI3 for Solar Cells: Films Formation and Properties - ScienceDirect
108,Cs,MA,FA,Pb,Cl,Br,I,,0.6000,0.4000,,,1.00,1.5300,correct,TRUE,,"film, synthesized",same article,Perovskite FA1-xMAxPbI3 for Solar Cells: Films Formation and Properties - ScienceDirect
109,Cs,MA,FA,Pb,Cl,Br,I,,0.8000,0.2000,,,1.00,1.5540,correct,TRUE,,"film, synthesized",same article,Perovskite FA1-xMAxPbI3 for Solar Cells: Films Formation and Properties - ScienceDirect
110,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,,,,1.00,1.5630,correct,TRUE,,"film, synthesized",same article,Perovskite FA1-xMAxPbI3 for Solar Cells: Films Formation and Properties - ScienceDirect
111,Cs,MA,FA,Pb,Cl,Br,I,0.1700,0.8300,,,0.17,0.83,1.6000,,,,,?,(PDF) Development of High Efficiency Four-Terminal Perovskite-Silicon Tandems (researchgate.net)
112,Cs,MA,FA,Pb,Cl,Br,I,0.0500,0.1140,0.8360,,,1.00,1.5500,correct,TRUE,,film,correct,Impermeable inorganic “walls” sandwiching perovskite layer toward inverted and indoor photovoltaic devices - ScienceDirect
113,Cs,MA,FA,Pb,Cl,Br,I,0.0500,0.1000,0.8500,,0.03,0.97,1.5500,correct,TRUE,,film,correct,Tailored Amphiphilic Molecular Mitigators for Stable Perovskite Solar Cells with 23.5% Efficiency - Zhu - 2020 - Advanced Materials - Wiley Online Library
